device,clicks,impressions,ctr,position
"MOBILE","982","43362","0.022646556893132237","5.961671509616715"
"DESKTOP","187","51416","0.0036370001555935897","8.142640423214564"
"TABLET","39","1898","0.02054794520547945","6.285563751317176"
