country,clicks,impressions,ctr,position
"usa","216","30881","0.006994592144036786","7.9545675334347985"
"ind","70","2910","0.024054982817869417","7.335051546391752"
"deu","62","5387","0.011509188787822536","6.240950436235382"
"phl","56","3996","0.014014014014014014","6.831831831831832"
"fra","44","10977","0.004008381160608545","5.719686617472898"
"can","42","6420","0.0065420560747663555","7.273831775700935"
"idn","38","830","0.04578313253012048","7.265060240963855"
"bra","35","2554","0.01370399373531715","7.83672670321065"
"gbr","34","2452","0.013866231647634585","7.573817292006526"
"rus","33","778","0.042416452442159386","7.190231362467866"
"ita","32","2920","0.010958904109589041","4.927397260273972"
"mar","27","408","0.0661764705882353","5.825980392156863"
"sgp","27","740","0.03648648648648649","6.505405405405406"
"mys","26","475","0.05473684210526316","7.494736842105263"
"nld","25","853","0.029308323563892145","6.399765533411489"
"aus","23","2944","0.0078125","7.329823369565218"
"dza","22","377","0.058355437665782495","5.3289124668435015"
"pak","21","283","0.07420494699646643","7.303886925795053"
"vnm","21","1001","0.02097902097902098","8.475524475524477"
"egy","16","246","0.06504065040650407","6.126016260162602"
"pol","16","695","0.02302158273381295","6.463309352517985"
"irq","15","269","0.055762081784386616","5.609665427509293"
"tha","15","651","0.02304147465437788","6.645161290322581"
"tur","15","516","0.029069767441860465","8.222868217054263"
"jpn","14","614","0.02280130293159609","8.631921824104236"
"esp","13","731","0.017783857729138167","7.839945280437757"
"sau","13","226","0.05752212389380531","7.95575221238938"
"bgd","11","413","0.026634382566585957","8.075060532687651"
"zaf","11","499","0.022044088176352707","7.148296593186373"
"aut","10","226","0.04424778761061947","6.716814159292035"
"mex","10","951","0.010515247108307046","8.027339642481598"
"tun","9","289","0.031141868512110725","5.726643598615917"
"bel","8","366","0.02185792349726776","5.909836065573771"
"isr","8","142","0.056338028169014086","7.394366197183099"
"dnk","7","402","0.017412935323383085","4.798507462686567"
"hkg","7","485","0.01443298969072165","6.870103092783505"
"nga","7","142","0.04929577464788732","8.359154929577464"
"nor","6","154","0.03896103896103896","7.214285714285714"
"npl","6","102","0.058823529411764705","8.470588235294118"
"rou","6","258","0.023255813953488372","7.135658914728682"
"swe","6","242","0.024793388429752067","6.243801652892562"
"syr","6","63","0.09523809523809523","5.904761904761905"
"arg","5","533","0.009380863039399626","7.75422138836773"
"che","5","467","0.010706638115631691","5.591006423982869"
"prt","5","236","0.0211864406779661","7.245762711864407"
"cze","4","446","0.008968609865470852","5.020179372197309"
"fin","4","395","0.010126582278481013","4.987341772151899"
"hun","4","203","0.019704433497536946","6.674876847290641"
"irl","4","171","0.023391812865497075","8.4093567251462"
"kor","4","300","0.013333333333333334","9.99"
"lbn","4","46","0.08695652173913043","6.6521739130434785"
"sdn","4","29","0.13793103448275862","4.793103448275862"
"twn","4","369","0.01084010840108401","8.32791327913279"
"are","3","193","0.015544041450777202","7.7927461139896375"
"bol","3","54","0.05555555555555555","7.148148148148148"
"jor","3","48","0.0625","8.520833333333332"
"omn","3","23","0.13043478260869565","6.130434782608695"
"pan","3","32","0.09375","7.59375"
"pse","3","68","0.04411764705882353","6.588235294117647"
"yem","3","14","0.21428571428571427","4.571428571428571"
"est","2","151","0.013245033112582781","5.589403973509934"
"hrv","2","268","0.007462686567164179","4.197761194029851"
"irn","2","574","0.003484320557491289","7.358885017421603"
"kaz","2","137","0.014598540145985401","4.5036496350364965"
"ken","2","49","0.04081632653061224","6.816326530612245"
"kwt","2","27","0.07407407407407407","6.407407407407407"
"lao","2","12","0.16666666666666666","8.166666666666668"
"lby","2","9","0.2222222222222222","6"
"lka","2","47","0.0425531914893617","7.553191489361702"
"mmr","2","47","0.0425531914893617","9.319148936170214"
"nzl","2","260","0.007692307692307693","7.446153846153846"
"pri","2","33","0.06060606060606061","6.575757575757576"
"ukr","2","376","0.005319148936170213","7.973404255319149"
"bgr","1","105","0.009523809523809525","7.419047619047619"
"bhr","1","16","0.0625","8.875"
"bhs","1","11","0.09090909090909091","8.09090909090909"
"bih","1","99","0.010101010101010102","5.898989898989899"
"chl","1","152","0.006578947368421052","8.006578947368421"
"eth","1","21","0.047619047619047616","9.571428571428571"
"geo","1","53","0.018867924528301886","7.2075471698113205"
"gha","1","26","0.038461538461538464","8.73076923076923"
"grc","1","148","0.006756756756756757","7.22972972972973"
"gtm","1","37","0.02702702702702703","7.945945945945946"
"isl","1","23","0.043478260869565216","7.913043478260869"
"jam","1","81","0.012345679012345678","6.037037037037037"
"khm","1","24","0.041666666666666664","8.833333333333332"
"mac","1","10","0.1","8.7"
"mdg","1","47","0.02127659574468085","3.4893617021276597"
"mli","1","14","0.07142857142857142","2.7857142857142856"
"mne","1","22","0.045454545454545456","6.545454545454546"
"mng","1","44","0.022727272727272728","7.295454545454546"
"moz","1","4","0.25","11.5"
"mrt","1","10","0.1","3.6"
"mwi","1","7","0.14285714285714285","8.714285714285715"
"svk","1","223","0.004484304932735426","4.834080717488789"
"tto","1","27","0.037037037037037035","8.037037037037038"
"uga","1","13","0.07692307692307693","5"
"xkk","1","22","0.045454545454545456","8.09090909090909"
"abw","0","2","0","9"
"afg","0","26","0","5.346153846153846"
"ago","0","9","0","7.333333333333333"
"ala","0","2","0","6"
"alb","0","74","0","5.581081081081081"
"and","0","3","0","13.666666666666666"
"arm","0","26","0","8.038461538461538"
"atg","0","3","0","5"
"aze","0","41","0","5.926829268292683"
"bdi","0","4","0","2.5"
"ben","0","9","0","4.444444444444445"
"bfa","0","26","0","4.384615384615385"
"blr","0","93","0","6.010752688172043"
"blz","0","9","0","8.333333333333332"
"bmu","0","1","0","7"
"brb","0","68","0","3.2058823529411766"
"brn","0","15","0","10.666666666666666"
"btn","0","6","0","9.5"
"bwa","0","7","0","5.142857142857143"
"caf","0","1","0","11"
"chn","0","995","0","8.306532663316583"
"civ","0","22","0","5.7727272727272725"
"cmr","0","27","0","5"
"cod","0","10","0","6.6"
"cog","0","10","0","3.5"
"cok","0","1","0","6"
"col","0","403","0","7.873449131513648"
"cpv","0","6","0","15.666666666666666"
"cri","0","27","0","9.185185185185185"
"cub","0","42","0","7.5"
"cuw","0","12","0","7.333333333333333"
"cym","0","6","0","6.333333333333333"
"cyp","0","18","0","7.5"
"dji","0","8","0","10.625"
"dom","0","112","0","7.776785714285714"
"ecu","0","185","0","8.794594594594596"
"eri","0","2","0","11.5"
"esh","0","2","0","5"
"fji","0","3","0","5.666666666666667"
"fro","0","1","0","7"
"gab","0","16","0","5.0625"
"ggy","0","3","0","6.333333333333333"
"gib","0","3","0","5"
"gin","0","13","0","6.846153846153846"
"glp","0","10","0","6.5"
"gnq","0","1","0","5"
"grd","0","3","0","10.333333333333334"
"grl","0","2","0","8"
"guf","0","14","0","4.428571428571429"
"gum","0","6","0","7.833333333333333"
"guy","0","2","0","3.5"
"hnd","0","18","0","7.888888888888889"
"hti","0","21","0","9.333333333333334"
"imn","0","6","0","7.5"
"iot","0","1","0","6"
"kgz","0","25","0","4.48"
"lbr","0","1","0","3"
"lca","0","3","0","9.333333333333334"
"lso","0","1","0","19"
"ltu","0","175","0","4.828571428571429"
"lux","0","15","0","5.8"
"lva","0","102","0","5.411764705882353"
"maf","0","2","0","13"
"mda","0","32","0","7.09375"
"mdv","0","8","0","9.625"
"mkd","0","27","0","10"
"mlt","0","20","0","6.6"
"mtq","0","8","0","6"
"mus","0","18","0","5.222222222222222"
"nam","0","4","0","15.75"
"ncl","0","3","0","5.333333333333333"
"ner","0","4","0","1.75"
"nic","0","7","0","6.142857142857143"
"nru","0","2","0","7.5"
"per","0","156","0","7.67948717948718"
"png","0","2","0","13"
"prk","0","4","0","6"
"pry","0","38","0","8.105263157894736"
"pyf","0","11","0","6.7272727272727275"
"qat","0","48","0","7.375"
"reu","0","33","0","6.151515151515151"
"rwa","0","2","0","5"
"sen","0","59","0","3.694915254237288"
"slv","0","24","0","7.666666666666667"
"smr","0","2","0","2.5"
"som","0","17","0","3"
"srb","0","220","0","5.7272727272727275"
"ssd","0","2","0","14"
"sur","0","2","0","3"
"svn","0","155","0","4.109677419354838"
"swz","0","1","0","12"
"sxm","0","2","0","16"
"syc","0","1","0","10"
"tca","0","4","0","8.25"
"tcd","0","13","0","3.076923076923077"
"tgo","0","3","0","3"
"tjk","0","7","0","5.857142857142857"
"tkm","0","16","0","4.9375"
"tza","0","11","0","8.272727272727273"
"ury","0","39","0","6.769230769230769"
"uzb","0","49","0","6.387755102040816"
"ven","0","104","0","7.5"
"vir","0","1","0","19"
"vut","0","2","0","4.5"
"wsm","0","1","0","10"
"zmb","0","7","0","7.142857142857143"
"zwe","0","16","0","7.125"
"zzz","0","7","0","16.285714285714285"
