date,clicks,impressions,ctr,position
"2026-05-08","0","0","0","0"
"2026-05-09","0","1","0","3"
"2026-05-10","3","19","0.15789473684210525","2.526315789473684"
"2026-05-11","9","58","0.15517241379310345","6.206896551724138"
"2026-05-12","3","80","0.0375","3.6"
"2026-05-13","7","140","0.05","4.092857142857143"
"2026-05-14","13","331","0.03927492447129909","5.114803625377643"
"2026-05-15","20","1520","0.013157894736842105","6.355921052631579"
"2026-05-16","18","2019","0.008915304606240713","6.849925705794948"
"2026-05-17","18","1794","0.010033444816053512","6.951505016722408"
"2026-05-18","45","1766","0.02548131370328426","6.615515288788222"
"2026-05-19","46","1923","0.02392095683827353","6.735309412376495"
"2026-05-20","24","1496","0.016042780748663103","7.479946524064171"
"2026-05-21","26","738","0.03523035230352303","9.231707317073171"
"2026-05-22","23","1938","0.011867905056759546","8.165118679050568"
"2026-05-23","32","5077","0.006302934804018121","7.020484538113059"
"2026-05-24","28","2380","0.011764705882352941","7.806302521008403"
"2026-05-25","16","2143","0.007466168922071862","7.959869342043864"
"2026-05-26","26","1793","0.014500836586726157","8.108756274400445"
"2026-05-27","15","1845","0.008130081300813009","8.496476964769649"
"2026-05-28","17","1399","0.012151536812008578","8.646175839885633"
"2026-05-29","19","1699","0.011183048852266038","8.36904061212478"
"2026-05-30","17","1996","0.008517034068136272","7.656312625250501"
"2026-05-31","25","2853","0.008762705923589204","7.5285664213109005"
"2026-06-01","17","5189","0.0032761611100404703","6.88610522258624"
"2026-06-02","10","2652","0.003770739064856712","7.423831070889895"
"2026-06-03","21","3759","0.00558659217877095","7.240755520085129"
"2026-06-04","15","1640","0.009146341463414634","7.501829268292683"
"2026-06-05","3","8","0.375","5.75"
"2026-06-06","5","302","0.016556291390728478","8.02980132450331"
"2026-06-07","17","1288","0.013198757763975156","7.193322981366459"
"2026-06-08","22","1256","0.01751592356687898","7.160828025477707"
"2026-06-09","23","1321","0.0174110522331567","7.08781226343679"
"2026-06-10","20","908","0.022026431718061675","6.172907488986784"
"2026-06-11","15","1157","0.01296456352636128","7.584269662921348"
"2026-06-12","18","1103","0.016319129646418858","7.935630099728015"
"2026-06-13","23","1412","0.016288951841359773","7.421388101983003"
"2026-06-14","27","1703","0.015854374633000587","7.161479741632413"
"2026-06-15","31","1800","0.017222222222222222","7.235555555555556"
"2026-06-16","28","1622","0.01726263871763255","7.498150431565968"
"2026-06-17","26","1861","0.013970983342289092","7.558839333691564"
"2026-06-18","23","2126","0.010818438381937912","7.5809031044214485"
"2026-06-19","27","2355","0.011464968152866241","7.387261146496815"
"2026-06-20","44","4918","0.008946726311508743","5.8965026433509555"
"2026-06-21","43","5750","0.007478260869565217","6.132521739130435"
"2026-06-22","40","4103","0.009748964172556666","6.600779917133805"
"2026-06-23","38","3488","0.010894495412844037","6.846043577981652"
"2026-06-24","41","4182","0.00980392156862745","7.124581539933047"
"2026-06-25","54","4677","0.011545862732520847","6.48129142612786"
"2026-06-26","5","514","0.009727626459143969","6.861867704280155"
"2026-06-27","2","7","0.2857142857142857","4.571428571428571"
"2026-06-28","0","7","0","12.571428571428571"
"2026-06-29","0","5","0","8.2"
"2026-06-30","3","12","0.25","9.916666666666666"
"2026-07-01","2","11","0.18181818181818182","8.727272727272727"
"2026-07-02","2","10","0.2","30.1"
"2026-07-03","4","12","0.3333333333333333","14.916666666666666"
"2026-07-04","0","7","0","4.714285714285714"
"2026-07-05","0","7","0","5.285714285714286"
"2026-07-06","3","16","0.1875","4.625"
"2026-07-07","0","5","0","3.6"
"2026-07-08","4","12","0.3333333333333333","14.333333333333334"
"2026-07-09","4","9","0.4444444444444444","6"
"2026-07-10","1","19","0.05263157894736842","24.57894736842105"
"2026-07-11","3","13","0.23076923076923078","6.153846153846154"
"2026-07-12","6","20","0.3","7.6"
"2026-07-13","7","20","0.35","9.1"
"2026-07-14","1","8","0.125","3.25"
"2026-07-15","0","11","0","4.818181818181818"
"2026-07-16","3","14","0.21428571428571427","13.142857142857142"
"2026-07-17","1","24","0.041666666666666664","9.5"
"2026-07-18","6","21","0.2857142857142857","2.5238095238095237"
"2026-07-19","5","21","0.23809523809523808","2.7142857142857144"
"2026-07-20","1","10","0.1","2.5"
"2026-07-21","2","13","0.15384615384615385","4.461538461538462"
"2026-07-22","2","17","0.11764705882352941","4.8235294117647065"
"2026-07-23","4","22","0.18181818181818182","6.954545454545454"
"2026-07-24","3","30","0.1","3.2666666666666666"
"2026-07-25","4","9","0.4444444444444444","11.444444444444445"
"2026-07-26","8","22","0.36363636363636365","9.272727272727273"
"2026-07-27","5","18","0.2777777777777778","1.8888888888888888"
"2026-07-28","1","8","0.125","15"
"2026-07-29","4","19","0.21052631578947367","6.473684210526316"
"2026-07-30","3","15","0.2","10.8"
"2026-07-31","0","10","0","7.3"
"2026-08-01","3","17","0.17647058823529413","7.0588235294117645"
"2026-08-02","5","18","0.2777777777777778","14.833333333333334"
"2026-08-03","8","16","0.5","7.125"
"2026-08-04","7","18","0.3888888888888889","5.666666666666667"
"2026-08-05","5","21","0.23809523809523808","5.285714285714286"
